CID,SMILES
CID:4099,CCC1(C(=O)NC(=O)N(C1=O)C)CC
CID:4100,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C
CID:4107,COC1=CC=CC=C1OCC(COC(=O)N)O
CID:4116,COC(C(Cl)Cl)(F)F
CID:4121,CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl
CID:4167,CN1CCCC(C1)CC2C3=CC=CC=C3SC4=CC=CC=C24
CID:4168,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl
CID:4170,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl
CID:4171,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
CID:4174,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2
CID:4178,CC1=C(C(=CC=C1)C)OCC(C)N
CID:4184,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42
CID:4189,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
CID:4195,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O
CID:4197,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2
CID:4199,CC1=CC(=NN=C1NCCN2CCOCC2)C3=CC=CC=C3
CID:4201,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O
CID:4205,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4
CID:4211,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
CID:4212,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO
CID:4235,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl
CID:4236,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N
CID:4409,CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC
CID:4421,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O
CID:4436,C1CN=C(N1)CC2=CC=CC3=CC=CC=C32
CID:4440,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C
CID:4456,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C
CID:4474,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC
CID:4485,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
CID:4488,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F
CID:4493,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C
CID:4497,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC
CID:4499,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
CID:4506,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3
CID:4507,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C
CID:4510,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
CID:4539,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
CID:4543,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
CID:4583,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
CID:4594,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
CID:4595,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C
CID:4601,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C
CID:4614,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3
CID:4616,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O
CID:4631,CC(C)NCC(COC1=CC=CC=C1OCC=C)O
CID:4633,CCCCOC1=C(C=CC(=C1)C(=O)OCCN(CC)CC)N
CID:4634,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O
CID:4636,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C
CID:4642,CN1CCCN=C1COC(=O)C(C2CCCCC2)(C3=CC=CC=C3)O
CID:4649,C1=CC(=C(C=C1N)O)C(=O)O
CID:4674,C(CN)C(O)(P(=O)(O)O)P(=O)(O)O
CID:4679,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
CID:4680,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC
CID:4688,CN(CC#C)CC1=CC=CC=C1
CID:4737,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC
CID:4740,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C
CID:4746,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3
CID:4747,C1CN(CCC1O)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C#N
CID:4748,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO
